x,node,next_x,next_node
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Partially Available,2022-07-04,Partially Available
2022-07-04,Partially Available,2022-08-29,Partially Available
2022-08-29,Partially Available,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Available,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Available,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Pre-Synapse,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Pre-Synapse,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Pre-Synapse,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Pre-Synapse,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Pre-Synapse,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Pre-Synapse,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Pre-Synapse,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Pre-Synapse,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Pre-Synapse,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Pre-Synapse,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Available,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,Under Embargo,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,Under Embargo,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Available,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,Available,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,Under Embargo,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Partially Available,2022-07-04,Partially Available
2022-07-04,Partially Available,2022-08-29,Partially Available
2022-08-29,Partially Available,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Partially Available,2022-07-04,Partially Available
2022-07-04,Partially Available,2022-08-29,Partially Available
2022-08-29,Partially Available,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Under Embargo,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Available,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,Under Embargo,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,Available,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,Available,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,None,2022-07-04,Under Embargo
2022-07-04,Under Embargo,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Available
2022-07-04,Available,2022-08-29,None
2022-08-29,None,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,None
2022-08-29,None,,
2022-03-01,None,2022-07-04,None
2022-07-04,None,2022-08-29,Under Embargo
2022-08-29,Under Embargo,,
2022-03-01,Under Embargo,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
2022-03-01,Under Embargo,2022-07-04,Available
2022-07-04,Available,2022-08-29,Available
2022-08-29,Available,,
